symbol;available_exchanges;currency_base;currency_quote
"BTG/USD";"[""HitBTC""]";"Bitcoin Gold";"US Dollar"
"BTG/VND";"[""Synthetic""]";"Bitcoin Gold";"Vietnamese Dong"
"BTG/ZAR";"[""Synthetic""]";"Bitcoin Gold";"South African Rand"
"BTK/USD";"[""Synthetic""]";"Bitcoin Turbo Koin";"US Dollar"
"BTMA/USD";"[""Synthetic""]";"Bitmark";"US Dollar"
"BTPL/USD";"[""Synthetic""]";"Bitcoin Planet";"US Dollar"
"BTS/USD";"[""Gate.io""]";"BitShares";"US Dollar"
"BTT/INR";"[""Bitbns""]";"BitTorrent (New)";"Indian Rupee"
"BTT/KRW";"[""Bithumb"",""Upbit""]";"BitTorrent (New)";"Korean Won"
"BTTN/KRW";"[""Bithumb""]";"BitTorrent";"Korean Won"
"BTTN/TRY";"[""Binance""]";"BitTorrent";"Turkish Lira"
"BTTN/USD";"[""Binance"",""Huobi""]";"BitTorrent";"US Dollar"
"BTT/TRX";"[""Poloniex""]";"BitTorrent (New)";"TRON"
"BTT/TRY";"[""Binance"",""Paribu""]";"BitTorrent (New)";"Turkish Lira"
"BTT/USD";"[""Binance"",""KuCoin"",""Poloniex""]";"BitTorrent (New)";"US Dollar"
"BTW/USD";"[""Synthetic""]";"BitWhite";"US Dollar"
"BTXN/USD";"[""Synthetic""]";"BTXN Coin";"US Dollar"
"BUB/BTC";"[""YoBit""]";"Bubble";"Bitcoin"
"BUB/USD";"[""Synthetic""]";"Bubble";"US Dollar"
"BUCKS/USD";"[""Synthetic""]";"SwagBucks";"US Dollar"
"BUMBA/USD";"[""Synthetic""]";"BumbaCoin";"US Dollar"
"BUSD/INR";"[""Bitbns""]";"Binance USD";"Indian Rupee"
"BUZZ/USD";"[""Synthetic""]";"BuzzCoin";"US Dollar"
"BVC/USD";"[""Synthetic""]";"BeaverCoin";"US Dollar"
"BWK/USD";"[""Synthetic""]";"Bulwark";"US Dollar"
"BXC/USD";"[""Synthetic""]";"Bitcedi";"US Dollar"
"BXT/USD";"[""Synthetic""]";"BitTokens";"US Dollar"
"BYC/USD";"[""Synthetic""]";"Bytecent";"US Dollar"
"C2/BTC";"[""YoBit""]";"Coin2.1";"Bitcoin"
"C2/USD";"[""Synthetic""]";"Coin2.1";"US Dollar"
"C98/USD";"[""Binance""]";"Coin98";"US Dollar"
"CAB/BTC";"[""YoBit""]";"Cabbage";"Bitcoin"
"CAB/USD";"[""Synthetic""]";"Cabbage";"US Dollar"
"CAKE/BNB";"[""Binance""]";"PancakeSwap";"Binance Coin"
"CAKE/BRL";"[""NovaDAX""]";"PancakeSwap";"Brazil Real"
"CAKE/BTC";"[""Binance""]";"PancakeSwap";"Bitcoin"
"CAKE/INR";"[""Bitbns""]";"PancakeSwap";"Indian Rupee"
"CAKE/USD";"[""Binance"",""MXC""]";"PancakeSwap";"US Dollar"
"CALC/USD";"[""Synthetic""]";"CaliphCoin";"US Dollar"
"CANN/BTC";"[""YoBit""]";"CannabisCoin";"Bitcoin"
"CANN/USD";"[""Synthetic""]";"CannabisCoin";"US Dollar"
"CARBON/USD";"[""YoBit""]";"Carboncoin";"US Dollar"
"CASH/USD";"[""Synthetic""]";"Cashcoin";"US Dollar"
"CBBTC/USD";"[""Uniswap""]";"Coinbase Wrapped BTC";"US Dollar"
"CBC/USD";"[""Synthetic""]";"CryptoBossCoin";"US Dollar"
"CBT/USD";"[""Synthetic""]";"CommerceBlock";"US Dollar"
"CBXN/USD";"[""Synthetic""]";"Bullion";"US Dollar"
"CBX/USD";"[""Synthetic""]";"Crypto Bullion";"US Dollar"
"CCO/USD";"[""Synthetic""]";"Ccore";"US Dollar"
"CCRB/USD";"[""Synthetic""]";"CryptoCarbon";"US Dollar"
"CDM/USD";"[""Synthetic""]";"Condominium";"US Dollar"
"CDN/USD";"[""Synthetic""]";"Canada eCoin";"US Dollar"
"CDX/USD";"[""Synthetic""]";"CDX Network";"US Dollar"
"CEEK/USD";"[""Gate.io""]";"CEEK VR";"US Dollar"
"CEL/CAD";"[""Synthetic""]";"Celsius";"Canadian Dollar"
"CELO/CAD";"[""Synthetic""]";"Celo";"Canadian Dollar"
"CELO/USD";"[""Binance"",""Gate.io""]";"Celo";"US Dollar"
"CELR/USD";"[""Binance"",""Gate.io""]";"Celer Network";"US Dollar"
"CEL/USD";"[""Synthetic""]";"Celsius";"US Dollar"
"CET/BTC";"[""CoinEx""]";"CoinEx Token";"Bitcoin"
"CET/USD";"[""CoinEx""]";"CoinEx Token";"US Dollar"
"CF/BTC";"[""YoBit""]";"Californium";"Bitcoin"
"CFC/USD";"[""Synthetic""]";"CoffeeCoin";"US Dollar"
"CFD/USD";"[""Synthetic""]";"Confido";"US Dollar"
"CF/USD";"[""Synthetic""]";"Californium";"US Dollar"
"CFX/BTC";"[""Binance""]";"Conflux";"Bitcoin"
"CFX/USD";"[""Binance""]";"Conflux";"US Dollar"
"CGLD/USD";"[""Coinbase Pro""]";"Celo";"US Dollar"
"CHC/USD";"[""Synthetic""]";"ChainCoin";"US Dollar"
"CHESS/BTC";"[""YoBit""]";"ChessCoin";"Bitcoin"
"CHESS/USD";"[""Synthetic""]";"ChessCoin";"US Dollar"
"CHR/BTC";"[""Binance""]";"Chromia";"Bitcoin"
"CHR/USD";"[""Binance"",""Huobi""]";"Chromia";"US Dollar"
"CHSB/BTC";"[""HitBTC""]";"SwissBorg";"Bitcoin"
"CHSB/ETH";"[""HitBTC""]";"SwissBorg";"Ethereum"
"CHSB/USD";"[""Synthetic""]";"SwissBorg";"US Dollar"
"CHZ/BRL";"[""MercadoBitcoin""]";"Chiliz";"Brazil Real"
"CHZ/BTC";"[""Binance""]";"Chiliz";"Bitcoin"
"CHZ/CAD";"[""Synthetic""]";"Chiliz";"Canadian Dollar"
"CHZ/INR";"[""Bitbns""]";"Chiliz";"Indian Rupee"
"CHZ/TRY";"[""Binance"",""Paribu""]";"Chiliz";"Turkish Lira"
"CHZ/USD";"[""Binance"",""BitMax"",""XT.COM""]";"Chiliz";"US Dollar"
"CJ/USD";"[""Synthetic""]";"Cryptojacks";"US Dollar"
"CKB/USD";"[""Binance"",""Huobi""]";"Nervos Network";"US Dollar"
"CLAM/BTC";"[""YoBit""]";"Clams";"Bitcoin"
"CLAM/USD";"[""Synthetic""]";"Clams";"US Dollar"
"CLOAK/BTC";"[""YoBit""]";"CloakCoin";"Bitcoin"
"CLOAK/USD";"[""Synthetic""]";"CloakCoin";"US Dollar"
"CLUB/BTC";"[""YoBit""]";"ClubCoin";"Bitcoin"
"CLUB/USD";"[""Synthetic""]";"ClubCoin";"US Dollar"
"CMPCO/USD";"[""Synthetic""]";"CampusCoin";"US Dollar"
"CMS/USD";"[""Synthetic""]";"COMSA [ETH]";"US Dollar"
"CMTA/BTC";"[""YoBit""]";"Comet";"Bitcoin"
"CMTA/USD";"[""Synthetic""]";"Comet";"US Dollar"
"CNO/USD";"[""Synthetic""]";"Coin(O)";"US Dollar"
"CNT/BTC";"[""YoBit""]";"Centurion";"Bitcoin"
"CNT/USD";"[""Synthetic""]";"Centurion";"US Dollar"
"CNX/USD";"[""Cryptonex""]";"Cryptonex";"US Dollar"
"COAL/USD";"[""Synthetic""]";"BitCoal";"US Dollar"
"COB/USD";"[""Synthetic""]";"Cobinhood";"US Dollar"
"COLX/USD";"[""Synthetic""]";"ColossusCoinXT";"US Dollar"
"COMP/BTC";"[""Binance"",""Coinbase Pro""]";"Compound";"Bitcoin"
"COMP/CAD";"[""Synthetic""]";"Compound";"Canadian Dollar"
"COMP/USD";"[""Binance"",""Coinbase Pro"",""OKEx""]";"Compound";"US Dollar"
"CON/USD";"[""Synthetic""]";"PayCon";"US Dollar"
"CONX/BTC";"[""YoBit""]";"Concoin";"Bitcoin"
"CONX/USD";"[""Synthetic""]";"Concoin";"US Dollar"
"COOK/USD";"[""Gate.io""]";"Cook Finance";"US Dollar"
"CORE/USD";"[""Bybit""]";"Core";"US Dollar"
"CORE/USD";"[""Gate.io""]";"cVault.finance";"US Dollar"
"COR/USD";"[""Synthetic""]";"CORION";"US Dollar"
"COS/USD";"[""Synthetic""]";"COS";"US Dollar"
"COTI/BTC";"[""Binance"",""Kucoin""]";"COTI";"Bitcoin"
"COTI/USD";"[""Binance"",""Huobi""]";"COTI";"US Dollar"
"COT/USD";"[""Synthetic""]";"CoTrader";"US Dollar"
"COVAL/USD";"[""Gate.io""]";"Circuits of Value";"US Dollar"
"COV/USD";"[""Synthetic""]";"Covesting";"US Dollar"
"CPCH/USD";"[""Synthetic""]";"CPChain";"US Dollar"
"CRAVE/USD";"[""Synthetic""]";"Crave";"US Dollar"
"CRCA/BTC";"[""YoBit""]";"CryCash";"Bitcoin"
"CRCA/DOGE";"[""YoBit""]";"CryCash";"Dogecoin"
"CRCA/ETH";"[""YoBit""]";"CryCash";"Ethereum"
"CRCA/RUB";"[""YoBit""]";"CryCash";"Russian Ruble"
"CRCA/USD";"[""YoBit""]";"CryCash";"US Dollar"
"CRCA/WAVES";"[""YoBit""]";"CryCash";"Waves"
"CREDO/USD";"[""Synthetic""]";"Credo";"US Dollar"
"CRED/USD";"[""Synthetic""]";"Verify";"US Dollar"
"CRO/IDR";"[""Indodax""]";"Crypto.com Coin";"Indonesian Rupiah"
"CRO/KRW";"[""Bithumb""]";"Crypto.com Coin";"Korean Won"
"CRO/USD";"[""Kucoin"",""OKEx""]";"Crypto.com Coin";"US Dollar"
"CRPT/USD";"[""Synthetic""]";"Crypterium";"US Dollar"
"CRTM/USD";"[""Synthetic""]";"Corethum";"US Dollar"
"CRV/BTC";"[""Binance""]";"Curve DAO Token";"Bitcoin"
"CRV/EUR";"[""Coinbase Pro""]";"Curve DAO Token";"Euro"
"CRV/INR";"[""Bitbns""]";"Curve DAO Token";"Indian Rupee"
"CRV/TRY";"[""Paribu""]";"Curve DAO Token";"Turkish Lira"
"CRV/USD";"[""Binance"",""Huobi""]";"Curve DAO Token";"US Dollar"
"CRVUSD/USD";"[""Gate.io""]";"crvUSD";"US Dollar"
"CRW/BTC";"[""YoBit""]";"Crown";"Bitcoin"
"CRW/USD";"[""Synthetic""]";"Crown";"US Dollar"
"CSNO/USD";"[""Synthetic""]";"BitDice";"US Dollar"
"CSPR/USD";"[""Gate.io"",""Huobi""]";"Casper";"US Dollar"
"CTIC3/USD";"[""Synthetic""]";"Coimatic 3.0";"US Dollar"
"CTSI/BTC";"[""Binance""]";"Cartesi";"Bitcoin"
"CTSI/USD";"[""Binance""]";"Cartesi";"US Dollar"
"CTXC/USD";"[""Huobi""]";"Cortex";"US Dollar"
"CTX/USD";"[""Synthetic""]";"CarTaxi Token";"US Dollar"
"CURE/USD";"[""Synthetic""]";"Curecoin";"US Dollar"
"CVC/ETH";"[""Gate.io""]";"Civic";"Ethereum"
"CVC/KRW";"[""Upbit""]";"Civic";"Korean Won"
"CVC/THB";"[""Bitkub""]";"Civic";"Thai Baht"
"CVC/USD";"[""Binance"",""OKEx""]";"Civic";"US Dollar"
"CVT/INR";"[""Bitbns""]";"CyberVein";"Indian Rupee"
"CVT/USD";"[""Synthetic""]";"CyberVein";"US Dollar"
"CVX/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Convex Finance";"US Dollar"
"CXT/BTC";"[""YoBit""]";"Coinonat";"Bitcoin"
"CXT/USD";"[""Synthetic""]";"Coinonat";"US Dollar"
"DAG/BTC";"[""Kucoin""]";"Constellation";"Bitcoin"
"DAG/ETH";"[""Kucoin""]";"Constellation";"Ethereum"
"DAG/USD";"[""Synthetic""]";"Constellation";"US Dollar"
"DAI/CAD";"[""Synthetic""]";"Dai";"Canadian Dollar"
"DAI/USD";"[""Coinbase Pro"",""Ethfinex"",""Gate.io""]";"Dai";"US Dollar"
"DALC/USD";"[""Synthetic""]";"Dalecoin";"US Dollar"
"DASH/AUD";"[""Synthetic""]";"Dash";"Australian Dollar"
"DASH/BTC";"[""Binance"",""HitBTC""]";"Dash";"Bitcoin"
"DASH/CAD";"[""Synthetic""]";"Dash";"Canadian Dollar"
"DASH/CNY";"[""Synthetic""]";"Dash";"Chinese Yuan"
"DASH/EUR";"[""CEX.IO"",""Kraken""]";"Dash";"Euro"
"DASH/HKD";"[""Synthetic""]";"Dash";"Hong Kong Dollar"
"DASH/ILS";"[""Synthetic""]";"Dash";"Israeli Shekel"
"DASH/INR";"[""Synthetic""]";"Dash";"Indian Rupee"
"DASH/JPY";"[""Synthetic""]";"Dash";"Japanese Yen"
"DASH/KRW";"[""Synthetic""]";"Dash";"Korean Won"
"DASH/MXN";"[""Synthetic""]";"Dash";"Mexican Peso"
"DASH/MYR";"[""Synthetic""]";"Dash";"Malaysian Ringgit"
"DASH/PLN";"[""BitBay"",""Synthetic""]";"Dash";"Polish Zloty"
"DASH/RUB";"[""Synthetic""]";"Dash";"Russian Ruble"
"DASH/SAR";"[""Synthetic""]";"Dash";"Saudi Riyal"
"DASH/SEK";"[""Synthetic""]";"Dash";"Swedish Krona"
"DASHS/USD";"[""Synthetic""]";"Dashs";"US Dollar"
"DASH/TRY";"[""BTCTurk"",""Synthetic""]";"Dash";"Turkish Lira"
"DASH/USD";"[""Binance"",""Huobi""]";"Dash";"US Dollar"
"DASH/VND";"[""Synthetic""]";"Dash";"Vietnamese Dong"
"DASH/ZAR";"[""Synthetic""]";"Dash";"South African Rand"
"DATA/USD";"[""Gate.io""]";"Streamr DATAcoin";"US Dollar"
"DAV/USD";"[""Synthetic""]";"DavorCoin";"US Dollar"
"DAX/USD";"[""Synthetic""]";"DAEX";"US Dollar"
"DAY/USD";"[""Synthetic""]";"Chronologic";"US Dollar"
"DBC/INR";"[""Bitbns""]";"DeepBrain Chain";"Indian Rupee"
"DBC/USD";"[""Gate.io""]";"DeepBrain Chain";"US Dollar"
"DBIX/USD";"[""Synthetic""]";"DubaiCoin";"US Dollar"
"DCC/USD";"[""Synthetic""]";"Distributed Credit Chain";"US Dollar"
"DCRE/USD";"[""Synthetic""]";"DeltaCredits";"US Dollar"
"DCR/USD";"[""Binance"",""MXC"",""Synthetic""]";"Decred";"US Dollar"
"DCT/USD";"[""Synthetic""]";"DECENT";"US Dollar"
"DCY/USD";"[""Synthetic""]";"Dinastycoin";"US Dollar"
"DDF/USD";"[""Synthetic""]";"DigitalDevelopersFund";"US Dollar"
"DEGEN/USD";"[""Bybit""]";"Degen";"US Dollar"
"DEM/BTC";"[""YoBit""]";"Deutsche eMark";"Bitcoin"
"DEM/USD";"[""Synthetic""]";"Deutsche eMark";"US Dollar"
"DENT/BTC";"[""Upbit""]";"Dent";"Bitcoin"
"DENT/ETH";"[""Binance""]";"Dent";"Ethereum"
"DENT/INR";"[""Bitbns""]";"Dent";"Indian Rupee"
"DENT/USD";"[""Binance"",""HitBTC""]";"Dent";"US Dollar"
"DERO/USD";"[""Synthetic""]";"Dero";"US Dollar"
"DES/USD";"[""Synthetic""]";"Destiny";"US Dollar"
"DEUS/USD";"[""Synthetic""]";"DeusCoin";"US Dollar"
"DFT/BTC";"[""YoBit""]";"DraftCoin";"Bitcoin"
"DFT/USD";"[""YoBit""]";"DraftCoin";"US Dollar"
"DGB/AUD";"[""Synthetic""]";"DigiByte";"Australian Dollar"
"DGB/BRL";"[""NovaDAX""]";"DigiByte";"Brazil Real"
"DGB/BTC";"[""HitBTC""]";"DigiByte";"Bitcoin"
"DGB/ETH";"[""Kucoin""]";"DigiByte";"Ethereum"
"DGB/USD";"[""OKEx""]";"DigiByte";"US Dollar"
"DGC/BTC";"[""FreiExchange""]";"Digitalcoin";"Bitcoin"
"DGC/USD";"[""Synthetic""]";"Digitalcoin";"US Dollar"
"DGD/USD";"[""Synthetic""]";"DigixDAO";"US Dollar"
"DICE/USD";"[""Synthetic""]";"Etheroll";"US Dollar"
"DIME/USD";"[""YoBit""]";"Dimecoin";"US Dollar"
"DLC/BTC";"[""YoBit""]";"Dollarcoin";"Bitcoin"
"DLC/USD";"[""Synthetic""]";"Dollarcoin";"US Dollar"
"DLT/BTC";"[""YoBit""]";"Agrello";"Bitcoin"
"DLT/USD";"[""Synthetic""]";"Agrello";"US Dollar"
"DMT/USD";"[""Synthetic""]";"DMarket";"US Dollar"
"DNT/USD";"[""Synthetic""]";"district0x";"US Dollar"
"DOGE/AED";"[""Synthetic""]";"Dogecoin";"UAE Dirham"
"DOGE/BTC";"[""Binance"",""Coinbase Pro""]";"Dogecoin";"Bitcoin"
"DOGE/CAD";"[""Synthetic""]";"Dogecoin";"Canadian Dollar"
"DOGE/CNY";"[""Synthetic""]";"Dogecoin";"Chinese Yuan"
"DOGE/EUR";"[""Binance"",""Coinbase Pro"",""Kraken""]";"Dogecoin";"Euro"
"DOGE/INR";"[""Bitbns""]";"Dogecoin";"Indian Rupee"
"DOGE/KRW";"[""Bithumb"",""Upbit""]";"Dogecoin";"Korean Won"
"DOGE/TRY";"[""Binance"",""Paribu""]";"Dogecoin";"Turkish Lira"
"DOGE/USD";"[""Binance"",""Coinbase Pro"",""Huobi""]";"Dogecoin";"US Dollar"
"DOGS/USDT";"[""Binance""]";"DOGS";"US Dollar"
"DOLLAR/USD";"[""Synthetic""]";"Dollar Online";"US Dollar"
"DOT/USD";"[""Binance""]";"Dotcoin";"US Dollar"
"DP/USD";"[""Synthetic""]";"DigitalPrice";"US Dollar"
"DPY/USD";"[""Gate.io""]";"Delphy";"US Dollar"
"DREAM/USD";"[""Synthetic""]";"DreamTeam";"US Dollar"
"DRGN/USD";"[""Gate.io""]";"Dragonchain";"US Dollar"
"DRG/USD";"[""Synthetic""]";"Dragon Coins";"US Dollar"
"DRM/BTC";"[""YoBit""]";"Dreamcoin";"Bitcoin"
"DRM/USD";"[""Synthetic""]";"Dreamcoin";"US Dollar"
"DROP/USD";"[""Synthetic""]";"Dropil";"US Dollar"
"DRP/USD";"[""Synthetic""]";"DCORP";"US Dollar"
"DRS/USD";"[""Synthetic""]";"Digital Rupees";"US Dollar"
"DRT/BTC";"[""YoBit""]";"DomRaider";"Bitcoin"
"DRT/USD";"[""Synthetic""]";"DomRaider";"US Dollar"
"DRXNE/USD";"[""Synthetic""]";"DROXNE";"US Dollar"
"DTB/USD";"[""Synthetic""]";"Databits";"US Dollar"
"DUO/USD";"[""Synthetic""]";"ParallelCoin";"US Dollar"
"DUSK/BTC";"[""Binance""]";"Dusk Network";"Bitcoin"
"DUSK/USD";"[""Binance"",""Gate.io""]";"Dusk Network";"US Dollar"
"DYDX/USD";"[""Binance""]";"dYdX";"US Dollar"
"DYM/USD";"[""Binance""]";"Dymension";"US Dollar"
"EAGLE/USD";"[""Synthetic""]";"EagleCoin";"US Dollar"
"EBCH/USD";"[""Synthetic""]";"eBitcoinCash";"US Dollar"
"EBET/USD";"[""Synthetic""]";"EthBet";"US Dollar"
"EBTC/USD";"[""Synthetic""]";"eBitcoin";"US Dollar"
"ECN/USD";"[""Synthetic""]";"E-coin";"US Dollar"
"ECO/USD";"[""Synthetic""]";"EcoCoin";"US Dollar"
"ECTE/USD";"[""Synthetic""]";"EurocoinToken";"US Dollar"
"EDRC/BTC";"[""YoBit""]";"EDRCoin";"Bitcoin"
"EDRC/USD";"[""Synthetic""]";"EDRCoin";"US Dollar"
"EER/USD";"[""Synthetic""]";"Ethereum eRush";"US Dollar"
"EGAS/USD";"[""Synthetic""]";"ETHGAS";"US Dollar"
"EGC/USD";"[""Synthetic""]";"EverGreenCoin";"US Dollar"
"EGG/USD";"[""Synthetic""]";"EggCoin";"US Dollar"
"EGLD/BNB";"[""Binance""]";"Elrond";"Binance Coin"
"EGLD/BTC";"[""Binance""]";"Elrond";"Bitcoin"
"EGLD/CAD";"[""Synthetic""]";"Elrond";"Canadian Dollar"
"EGLD/EUR";"[""Binance""]";"Elrond";"Euro"
"EGLD/INR";"[""Bitbns""]";"Elrond";"Indian Rupee"
"EGLD/USD";"[""Binance"",""Gate.io""]";"Elrond";"US Dollar"
"EGOLD/USD";"[""Synthetic""]";"eGold";"US Dollar"
"ELA/BTC";"[""Kucoin""]";"Elastos";"Bitcoin"
"ELA/USD";"[""CoinEx"",""Huobi""]";"Elastos";"US Dollar"
"ELC/USD";"[""Synthetic""]";"Elacoin";"US Dollar"
"ELE/USD";"[""Synthetic""]";"Elementrem";"US Dollar"
"ELF/USD";"[""Huobi"",""OKEx""]";"aelf";"US Dollar"
"ELITE/USD";"[""Synthetic""]";"Ethereum Lite";"US Dollar"
"ELIX/USD";"[""Synthetic""]";"Elixir";"US Dollar"
"ELLA/USD";"[""Synthetic""]";"Ellaism";"US Dollar"
"ELON/USD";"[""Gate.io"",""Kucoin""]";"Dogelon Mars";"US Dollar"
"ELTC2/USD";"[""Synthetic""]";"eLTC";"US Dollar"
"ELTCOIN/USD";"[""Synthetic""]";"ELTCOIN";"US Dollar"
"ELYTE/USD";"[""Synthetic""]";"ETHEREUM LYTE";"US Dollar"
"EMV/USD";"[""Synthetic""]";"Ethereum Movie Venture";"US Dollar"
"ENA/USD";"[""Binance""]";"Ethena";"US Dollar"
"ENG/USD";"[""Synthetic""]";"Enigma";"US Dollar"
"ENJ/BTC";"[""Binance"",""HitBTC""]";"Enjin coin";"Bitcoin"
"ENJ/CAD";"[""Synthetic""]";"Enjin Coin";"Canadian Dollar"
"ENJ/ETH";"[""Kucoin""]";"Enjin coin";"Ethereum"
"ENJ/INR";"[""Bitbns""]";"Enjin Coin";"Indian Rupee"
"ENJ/KRW";"[""Bithumb""]";"Enjin Coin";"Korean Won"
"ENJ/TRY";"[""Binance""]";"Enjin Coin";"Turkish Lira"
"ENJ/USD";"[""Binance"",""HitBTC""]";"Enjin Coin";"US Dollar"
"ENS/USD";"[""Binance""]";"Ethereum Name Service";"US Dollar"
"ENT/BTC";"[""YoBit""]";"Eternity";"Bitcoin"
"ENT/USD";"[""Synthetic""]";"Eternity";"US Dollar"
"EOS/AUD";"[""Synthetic""]";"EOS";"Australian Dollar"
"EOS/CAD";"[""Synthetic""]";"EOS";"Canadian Dollar"
"EOS/CNY";"[""Synthetic""]";"EOS";"Chinese Yuan"
"EOS/EUR";"[""Synthetic""]";"EOS";"Euro"
"EOS/HKD";"[""Synthetic""]";"EOS";"Hong Kong Dollar"
"EOS/ILS";"[""Synthetic""]";"EOS";"Israeli Shekel"
"EOS/INR";"[""Bitbns"",""Synthetic""]";"EOS";"Indian Rupee"
"EOS/MXN";"[""Synthetic""]";"EOS";"Mexican Peso"
"EOS/MYR";"[""Synthetic""]";"EOS";"Malaysian Ringgit"
"EOS/PLN";"[""Synthetic""]";"EOS";"Polish Zloty"
"EOS/RUB";"[""Synthetic""]";"EOS";"Russian Ruble"
"EOS/SAR";"[""Synthetic""]";"EOS";"Saudi Riyal"
"EOS/SEK";"[""Synthetic""]";"EOS";"Swedish Krona"
"EOS/TRY";"[""BTCTurk"",""Paribu"",""Synthetic""]";"EOS";"Turkish Lira"
"EOS/VND";"[""Synthetic""]";"EOS";"Vietnamese Dong"
"EOS/ZAR";"[""Synthetic""]";"EOS";"South African Rand"
"EPY/USD";"[""Synthetic""]";"Emphy";"US Dollar"
"ERC/USD";"[""Synthetic""]";"EuropeCoin";"US Dollar"
"ERG/BTC";"[""Kucoin""]";"Ergo";"Bitcoin"
"ERG/USD";"[""Gate.io"",""Kucoin""]";"Ergo";"US Dollar"
"ESP/USD";"[""Synthetic""]";"Espers";"US Dollar"
"ETA/USD";"[""Synthetic""]";"Etheera";"US Dollar"
"ETBS/USD";"[""Synthetic""]";"Ethbits";"US Dollar"
"ETC/AUD";"[""BTC Markets"",""Synthetic""]";"Ethereum Classic";"Australian Dollar"
"ETC/BNB";"[""Binance""]";"Ethereum Classic";"Binance Coin"
"ETC/BRL";"[""NovaDAX""]";"Ethereum Classic";"Brazil Real"
"ETC/BTC";"[""Binance""]";"Ethereum Classic";"Bitcoin"
"ETC/CAD";"[""Synthetic""]";"Ethereum Classic";"Canadian Dollar"
"ETC/CNY";"[""Synthetic""]";"Ethereum Classic";"Chinese Yuan"
"ETC/ETH";"[""Binance""]";"Ethereum Classic";"Ethereum"
"ETC/EUR";"[""Coinbase Pro"",""Kraken""]";"Ethereum Classic";"Euro"
"ETC/GBP";"[""Coinbase Pro""]";"Ethereum Classic";"British Pound"
"ETC/HKD";"[""Synthetic""]";"Ethereum Classic";"Hong Kong Dollar"
"ETC/IDR";"[""BTC Indonesia""]";"Ethereum Classic";"Indonesian Rupiah"
"ETC/ILS";"[""Synthetic""]";"Ethereum Classic";"Israeli Shekel"
"ETC/INR";"[""Synthetic""]";"Ethereum Classic";"Indian Rupee"
"ETC/JPY";"[""Synthetic""]";"Ethereum Classic";"Japanese Yen"
"ETC/KRW";"[""Bithumb"",""Upbit""]";"Ethereum Classic";"Korean Won"
"ETC/MXN";"[""Synthetic""]";"Ethereum Classic";"Mexican Peso"
"ETC/MYR";"[""Synthetic""]";"Ethereum Classic";"Malaysian Ringgit"
"ETC/PLN";"[""Synthetic""]";"Ethereum Classic";"Polish Zloty"
"ETC/RUB";"[""Synthetic""]";"Ethereum Classic";"Russian Ruble"
"ETC/SAR";"[""Synthetic""]";"Ethereum Classic";"Saudi Riyal"
"ETC/SEK";"[""Synthetic""]";"Ethereum Classic";"Swedish Krona"
"ETC/TRY";"[""Synthetic""]";"Ethereum Classic";"Turkish Lira"
"ETC/USD";"[""Binance"",""Gate.io""]";"Ethereum Classic";"US Dollar"
"ETC/VND";"[""Synthetic""]";"Ethereum Classic";"Vietnamese Dong"
"ETC/ZAR";"[""Synthetic""]";"Ethereum Classic";"South African Rand"
"ETH/AUD";"[""BTC Markets""]";"Ethereum";"Australian Dollar"
"ETH/BRL";"[""MercadoBitcoin"",""NovaDAX""]";"Ethereum";"Brazil Real"
"ETH/BTC";"[""Binance"",""Huobi"",""Poloniex""]";"Ethereum";"Bitcoin"
"ETH/CAD";"[""Kraken""]";"Ethereum";"Canadian Dollar"
"ETH/CNY";"[""Synthetic""]";"Ethereum";"Chinese Yuan"
"ETHD/USD";"[""Synthetic""]";"Ethereum Dark";"US Dollar"
"ETH/EUR";"[""Binance"",""BitStamp"",""Coinbase Pro"",""Kraken""]";"Ethereum";"Euro"
"ETHFI/USD";"[""Binance""]";"ether.fi";"US Dollar"
"ETH/GBP";"[""Bitfinex"",""Coinbase Pro""]";"Ethereum";"British Pound"
"ETH/IDR";"[""BTC Indonesia"",""Luno""]";"Ethereum";"Indonesian Rupiah"
"ETH/ILS";"[""Synthetic""]";"Ethereum";"Israeli Shekel"
"ETH/INR";"[""Bitbns"",""Synthetic""]";"Ethereum";"Indian Rupee"
"ETH/JPY";"[""Bitfinex"",""Zaif""]";"Ethereum";"Japanese Yen"
"ETH/KRW";"[""Bithumb"",""Coinone"",""Upbit""]";"Ethereum";"Korean Won"
"ETH/LTC";"[""Exmo""]";"Ethereum";"Litecoin"
"ETH/MXN";"[""Bitso"",""Synthetic""]";"Ethereum";"Mexican Peso"
"ETH/MYR";"[""Luno"",""Synthetic""]";"Ethereum";"Malaysian Ringgit"
"ETH/NGN";"[""Luno""]";"Ethereum";"Nigerian Naira"
"ETH/PLN";"[""BitBay"",""Exmo""]";"Ethereum";"Polish Zloty"
"ETH/SAR";"[""Synthetic""]";"Ethereum";"Saudi Riyal"
"ETH/SEK";"[""Synthetic""]";"Ethereum";"Swedish Krona"
"ETH/THB";"[""Bitkub"",""Satang Pro""]";"Ethereum";"Thai Baht"
"ETH/TRY";"[""Bitexen"",""BTCTurk"",""Paribu""]";"Ethereum";"Turkish Lira"
"ETH/UAH";"[""Exmo""]";"Ethereum";"Ukrainian Hryvnia"
"ETH/USD";"[""Binance"",""Bitfinex"",""Huobi""]";"Ethereum";"US Dollar"
"ETH/VND";"[""Synthetic""]";"Ethereum";"Vietnamese Dong"
